mvt,id,order,points,type,x_j1,y_j2,z_j3,w_j4,p_j5,r_j6,e1,wrist,forearm,arm,conf_j1,conf_j4,conf_j6
home,,,home,JOINT,0.00,25.00,-30.00,0.00,113.00,0.00,0.00,,,,,,
station,,,station 1,JOINT,0.00,25.00,-30.00,0.00,113.00,0.00,-300.00,,,,,,
approach,,,12,JOINT,0.00,25.00,-30.00,0.00,113.00,0.00,-300.00,,,,,,
approach,,,13,JOINT,24.60,37.01,-12.60,-71.07,115.06,27.86,-300.00,,,,,,
approach,,,14,JOINT,24.60,37.01,-12.60,-71.07,115.06,-29.74,-300.00,,,,,,
approach,,,15,JOINT,30.79,40.03,-5.71,-88.94,115.58,-13.89,-300.00,,,,,,
approach,,,16,JOINT,41.35,45.74,7.34,-80.60,125.00,51.18,-300.00,,,,,,
approach,,,17,JOINT,45.13,42.93,18.94,-121.71,112.68,53.40,-300.00,,,,,,
approach,,,11,JOINT,44.99,46.97,10.11,-129.98,116.76,50.96,-300.00,,,,,,
approach,,,10,JOINT,43.22,49.37,1.06,-129.16,106.21,41.02,-300.00,,,,,,
work,asna2392-3-04.178,1,1,CRT,810.00,-41.08,-27.59,-90.00,-77.88,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.179,2,2,CRT,798.04,-41.08,-44.04,-90.00,-79.42,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.180,3,3,CRT,786.64,-41.08,-27.59,-90.00,-81.03,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.181,4,4,CRT,774.68,-41.08,-44.04,-90.00,-81.03,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.182,5,18,CRT,764.39,-41.08,-27.59,-90.00,-76.42,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.183,6,19,CRT,749.69,-41.08,-44.04,-90.00,-71.35,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.184,7,20,CRT,738.30,-41.08,-27.59,-90.00,-68.13,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.185,8,21,CRT,726.80,-41.08,-44.04,-90.00,-69.51,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.186,9,22,CRT,714.97,-41.08,-27.59,-90.00,-65.36,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.189,10,23,CRT,702.48,-41.08,-44.04,-90.00,-67.21,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.188,11,24,CRT,690.82,-41.08,-27.59,-90.00,-61.68,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.190,12,5,CRT,661.48,-41.08,-28.23,-90.00,-61.81,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.191,13,25,CRT,648.08,-41.08,-43.19,-90.00,-61.81,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.192,14,26,CRT,635.77,-41.08,-27.41,-90.00,-61.81,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.193,15,27,CRT,622.64,-41.08,-43.19,-90.00,-61.81,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.194,16,28,CRT,611.81,-41.08,-27.41,-90.00,-53.98,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.195,17,29,CRT,599.56,-41.08,-43.19,-90.00,-53.06,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.196,18,30,CRT,587.94,-41.08,-27.41,-90.00,-50.75,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.197,19,31,CRT,575.66,-41.08,-43.19,-90.00,-49.83,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.198,20,32,CRT,565.37,-41.08,-27.41,-90.00,-49.37,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.199,21,33,CRT,551.65,-41.08,-43.19,-90.00,-48.45,0.00,-300.00,F,U,T,0,0,0
work,asna2392-3-04.200,22,34,CRT,541.03,-41.08,-27.41,-90.00,-45.69,0.00,-300.00,F,U,T,0,0,0
clearance,,,10,JOINT,43.22,49.37,1.06,-129.16,106.21,41.02,-300.00,,,,,,
clearance,,,11,JOINT,44.99,46.97,10.11,-129.98,116.76,50.96,-300.00,,,,,,
clearance,,,17,JOINT,45.13,42.93,18.94,-121.71,112.68,53.40,-300.00,,,,,,
clearance,,,16,JOINT,41.35,45.74,7.34,-80.60,125.00,51.18,-300.00,,,,,,
clearance,,,15,JOINT,30.79,40.03,-5.71,-88.94,115.58,-13.89,-300.00,,,,,,
clearance,,,14,JOINT,24.60,37.01,-12.60,-71.07,115.06,-29.74,-300.00,,,,,,
clearance,,,13,JOINT,24.60,37.01,-12.60,-71.07,115.06,27.86,-300.00,,,,,,
clearance,,,12,JOINT,0.00,25.00,-30.00,0.00,113.00,0.00,-300.00,,,,,,